file,line,type,commit,author,date,time,timezone,datetime,depth,length
style.css,134,css,f866f4d9,Brooklyn P,2025-01-13,20:02:23,-08:00,2025-01-13T20:02:23-08:00,0,16
style.css,135,css,f866f4d9,Brooklyn P,2025-01-13,20:02:23,-08:00,2025-01-13T20:02:23-08:00,0,0
style.css,136,css,f866f4d9,Brooklyn P,2025-01-13,20:02:23,-08:00,2025-01-13T20:02:23-08:00,0,3
style.css,137,css,f866f4d9,Brooklyn P,2025-01-13,20:02:23,-08:00,2025-01-13T20:02:23-08:00,0,21
style.css,138,css,f866f4d9,Brooklyn P,2025-01-13,20:02:23,-08:00,2025-01-13T20:02:23-08:00,0,4
style.css,139,css,f866f4d9,Brooklyn P,2025-01-13,20:02:23,-08:00,2025-01-13T20:02:23-08:00,0,16
style.css,140,css,f866f4d9,Brooklyn P,2025-01-13,20:02:23,-08:00,2025-01-13T20:02:23-08:00,0,18
style.css,141,css,f866f4d9,Brooklyn P,2025-01-13,20:02:23,-08:00,2025-01-13T20:02:23-08:00,0,8
style.css,142,css,f866f4d9,Brooklyn P,2025-01-13,20:02:23,-08:00,2025-01-13T20:02:23-08:00,0,0
style.css,143,css,f866f4d9,Brooklyn P,2025-01-13,20:02:23,-08:00,2025-01-13T20:02:23-08:00,0,0
style.css,144,css,f866f4d9,Brooklyn P,2025-01-13,20:02:23,-08:00,2025-01-13T20:02:23-08:00,0,0
style.css,145,css,f866f4d9,Brooklyn P,2025-01-13,20:02:23,-08:00,2025-01-13T20:02:23-08:00,0,0
style.css,146,css,f866f4d9,Brooklyn P,2025-01-13,20:02:23,-08:00,2025-01-13T20:02:23-08:00,0,7
style.css,147,css,2181c7cb,Brooklyn P,2025-01-23,19:44:26,-08:00,2025-01-23T19:44:26-08:00,0,2
style.css,148,css,f866f4d9,Brooklyn P,2025-01-13,20:02:23,-08:00,2025-01-13T20:02:23-08:00,0,14
style.css,149,css,f866f4d9,Brooklyn P,2025-01-13,20:02:23,-08:00,2025-01-13T20:02:23-08:00,0,0
style.css,150,css,2181c7cb,Brooklyn P,2025-01-23,19:44:26,-08:00,2025-01-23T19:44:26-08:00,0,0
style.css,151,css,2181c7cb,Brooklyn P,2025-01-23,19:44:26,-08:00,2025-01-23T19:44:26-08:00,0,0
style.css,152,css,2181c7cb,Brooklyn P,2025-01-23,19:44:26,-08:00,2025-01-23T19:44:26-08:00,0,14
style.css,153,css,2181c7cb,Brooklyn P,2025-01-23,19:44:26,-08:00,2025-01-23T19:44:26-08:00,0,18
style.css,154,css,2181c7cb,Brooklyn P,2025-01-23,19:44:26,-08:00,2025-01-23T19:44:26-08:00,0,9
style.css,155,css,2181c7cb,Brooklyn P,2025-01-23,19:44:26,-08:00,2025-01-23T19:44:26-08:00,0,11
style.css,156,css,2181c7cb,Brooklyn P,2025-01-23,19:44:26,-08:00,2025-01-23T19:44:26-08:00,0,20
style.css,157,css,2181c7cb,Brooklyn P,2025-01-23,19:44:26,-08:00,2025-01-23T19:44:26-08:00,0,14
style.css,158,css,2181c7cb,Brooklyn P,2025-01-23,19:44:26,-08:00,2025-01-23T19:44:26-08:00,0,0
style.css,159,css,2181c7cb,Brooklyn P,2025-01-23,19:44:26,-08:00,2025-01-23T19:44:26-08:00,0,0
style.css,160,css,2181c7cb,Brooklyn P,2025-01-23,19:44:26,-08:00,2025-01-23T19:44:26-08:00,0,7
style.css,161,css,2181c7cb,Brooklyn P,2025-01-23,19:44:26,-08:00,2025-01-23T19:44:26-08:00,0,20
style.css,162,css,2181c7cb,Brooklyn P,2025-01-23,19:44:26,-08:00,2025-01-23T19:44:26-08:00,0,14
style.css,163,css,7ed9967e,Brooklyn P,2025-01-30,21:58:20,-08:00,2025-01-30T21:58:20-08:00,0,0
style.css,164,css,7ed9967e,Brooklyn P,2025-01-30,21:58:20,-08:00,2025-01-30T21:58:20-08:00,0,0
style.css,165,css,7ed9967e,Brooklyn P,2025-01-30,21:58:20,-08:00,2025-01-30T21:58:20-08:00,0,14
style.css,166,css,7ed9967e,Brooklyn P,2025-01-30,21:58:20,-08:00,2025-01-30T21:58:20-08:00,0,3
style.css,167,css,7ed9967e,Brooklyn P,2025-01-30,21:58:20,-08:00,2025-01-30T21:58:20-08:00,0,13
style.css,168,css,7ed9967e,Brooklyn P,2025-01-30,21:58:20,-08:00,2025-01-30T21:58:20-08:00,0,39
style.css,169,css,7ed9967e,Brooklyn P,2025-01-30,21:58:20,-08:00,2025-01-30T21:58:20-08:00,0,8
style.css,170,css,7ed9967e,Brooklyn P,2025-01-30,21:58:20,-08:00,2025-01-30T21:58:20-08:00,0,0
style.css,171,css,7ed9967e,Brooklyn P,2025-01-30,21:58:20,-08:00,2025-01-30T21:58:20-08:00,0,3
style.css,172,css,7ed9967e,Brooklyn P,2025-01-30,21:58:20,-08:00,2025-01-30T21:58:20-08:00,0,16
style.css,173,css,7ed9967e,Brooklyn P,2025-01-30,21:58:20,-08:00,2025-01-30T21:58:20-08:00,0,20
style.css,174,css,7ed9967e,Brooklyn P,2025-01-30,21:58:20,-08:00,2025-01-30T21:58:20-08:00,0,0
style.css,175,css,7ed9967e,Brooklyn P,2025-01-30,21:58:20,-08:00,2025-01-30T21:58:20-08:00,0,3
style.css,176,css,7ed9967e,Brooklyn P,2025-01-30,21:58:20,-08:00,2025-01-30T21:58:20-08:00,0,16
style.css,177,css,7ed9967e,Brooklyn P,2025-01-30,21:58:20,-08:00,2025-01-30T21:58:20-08:00,0,20
style.css,178,css,7ed9967e,Brooklyn P,2025-01-30,21:58:20,-08:00,2025-01-30T21:58:20-08:00,0,0
style.css,179,css,ca46e878,Brooklyn P,2025-02-06,21:32:15,-08:00,2025-02-06T21:32:15-08:00,0,0
style.css,180,css,ca46e878,Brooklyn P,2025-02-06,21:32:15,-08:00,2025-02-06T21:32:15-08:00,0,0
style.css,181,css,ca46e878,Brooklyn P,2025-02-06,21:32:15,-08:00,2025-02-06T21:32:15-08:00,0,19
style.css,182,css,ca46e878,Brooklyn P,2025-02-06,21:32:15,-08:00,2025-02-06T21:32:15-08:00,0,15
style.css,183,css,ca46e878,Brooklyn P,2025-02-06,21:32:15,-08:00,2025-02-06T21:32:15-08:00,0,17
style.css,184,css,ca46e878,Brooklyn P,2025-02-06,21:32:15,-08:00,2025-02-06T21:32:15-08:00,0,0
style.css,185,css,ca46e878,Brooklyn P,2025-02-06,21:32:15,-08:00,2025-02-06T21:32:15-08:00,0,43
